item: ('i5', ' i22') , 0.020
Rule: (' i24',) ==> ('i1',) , 0.139
Rule: (' i24',) ==> (' i9',) , 0.139
Rule: (' i24',) ==> (' i23', ' i15') , 0.139
Rule: (' i25',) ==> (' i14',) , 0.143
Rule: (' i25',) ==> (' i11',) , 0.143
Rule: ('i1',) ==> (' i16',) , 0.145
Rule: ('i1',) ==> (' i3',) , 0.145
Rule: (' i23',) ==> (' i14',) , 0.146
Rule: (' i15',) ==> (' i25', ' i23') , 0.148
Rule: ('i3',) ==> (' i10',) , 0.151
Rule: ('i3',) ==> (' i18',) , 0.151
Rule: ('i3',) ==> (' i23', ' i15') , 0.151
Rule: ('i3',) ==> (' i9', ' i23') , 0.151
Rule: (' i24',) ==> (' i16',) , 0.153
Rule: (' i11',) ==> (' i28',) , 0.154
Rule: (' i11',) ==> (' i26',) , 0.154
Rule: (' i26',) ==> (' i16',) , 0.157
Rule: (' i26',) ==> (' i19',) , 0.157
Rule: (' i26',) ==> ('i5',) , 0.157
Rule: (' i26',) ==> (' i11',) , 0.157
Rule: (' i26',) ==> (' i17',) , 0.157
Rule: (' i17',) ==> ('i4',) , 0.160
Rule: (' i16',) ==> (' i26',) , 0.160
Rule: (' i16',) ==> ('i1',) , 0.160
Rule: (' i17',) ==> (' i26',) , 0.160
Rule: (' i16',) ==> (' i25', ' i23') , 0.160
Rule: ('i1',) ==> (' i9', ' i23') , 0.164
Rule: (' i15',) ==> (' i13',) , 0.164
Rule: (' i15',) ==> (' i24', ' i23') , 0.164
Rule: (' i25',) ==> (' i13',) , 0.167
Rule: (' i25',) ==> ('i1',) , 0.167
Rule: (' i24',) ==> (' i17',) , 0.167
Rule: (' i25',) ==> (' i9',) , 0.167
Rule: ('i3',) ==> (' i8',) , 0.170
Rule: ('i3',) ==> (' i16',) , 0.170
Rule: (' i23',) ==> (' i9',) , 0.171
Rule: (' i23',) ==> ('i3',) , 0.171
Rule: (' i23',) ==> ('i1',) , 0.171
Rule: (' i11',) ==> (' i21',) , 0.173
Rule: (' i11',) ==> (' i22',) , 0.173
Rule: (' i26',) ==> (' i18',) , 0.176
Rule: (' i23',) ==> (' i16',) , 0.179
Rule: (' i23',) ==> (' i13',) , 0.179
Rule: (' i23',) ==> (' i17',) , 0.179
Rule: (' i16',) ==> ('i3',) , 0.180
Rule: (' i17',) ==> (' i12',) , 0.180
Rule: (' i17',) ==> (' i25', ' i23') , 0.180
Rule: (' i15',) ==> ('i1',) , 0.180
Rule: (' i15',) ==> (' i9', ' i23') , 0.180
Rule: ('i1',) ==> (' i11',) , 0.182
Rule: ('i1',) ==> (' i24',) , 0.182
Rule: (' i10',) ==> ('i2',) , 0.182
Rule: (' i10',) ==> ('i3',) , 0.182
Rule: ('i5',) ==> (' i22',) , 0.186
Rule: ('i5',) ==> (' i23',) , 0.186
Rule: ('i5',) ==> (' i6',) , 0.186
Rule: ('i5',) ==> (' i26',) , 0.186
Rule: ('i3',) ==> (' i14',) , 0.189
Rule: (' i30',) ==> ('i6',) , 0.191
Rule: (' i30',) ==> (' i7',) , 0.191
Rule: (' i30',) ==> ('i7',) , 0.191
Rule: (' i11',) ==> ('i1',) , 0.192
Rule: (' i11',) ==> ('i5',) , 0.192
Rule: (' i26',) ==> (' i20',) , 0.196
Rule: ('i1',) ==> (' i15',) , 0.200
Rule: ('i1',) ==> (' i10',) , 0.200
Rule: (' i16',) ==> (' i10', ' i25') , 0.200
Rule: (' i20',) ==> ('i6',) , 0.200
Rule: (' i20',) ==> (' i29',) , 0.200
Rule: (' i25',) ==> (' i10',) , 0.202
Rule: (' i25',) ==> (' i15',) , 0.202
Rule: (' i25',) ==> ('i3',) , 0.202
Rule: (' i9',) ==> ('i3', ' i23') , 0.205
Rule: ('i3',) ==> (' i9',) , 0.208
Rule: ('i5',) ==> (' i21',) , 0.209
Rule: (' i23',) ==> (' i24',) , 0.211
Rule: (' i11',) ==> (' i20',) , 0.212
Rule: (' i30',) ==> ('i5',) , 0.213
Rule: (' i30',) ==> (' i28',) , 0.213
Rule: (' i25',) ==> (' i17',) , 0.214
Rule: (' i26',) ==> (' i23',) , 0.216
Rule: (' i16',) ==> (' i24',) , 0.220
Rule: (' i22',) ==> ('i5',) , 0.222
Rule: (' i10',) ==> (' i25', ' i16') , 0.227
Rule: (' i11',) ==> (' i25',) , 0.231
Rule: (' i13',) ==> (' i24',) , 0.231
Rule: (' i9',) ==> ('i1', ' i23') , 0.231
Rule: ('i5',) ==> (' i7',) , 0.233
Rule: ('i5',) ==> (' i30',) , 0.233
Rule: ('i5',) ==> (' i29',) , 0.233
Rule: ('i5',) ==> (' i11',) , 0.233
Rule: (' i29',) ==> (' i7',) , 0.235
Rule: (' i29',) ==> (' i20',) , 0.235
Rule: (' i24',) ==> ('i3',) , 0.236
Rule: (' i17',) ==> (' i24',) , 0.240
Rule: (' i25', ' i23') ==> (' i16',) , 0.242
Rule: ('i3',) ==> (' i13',) , 0.245
Rule: ('i2',) ==> (' i10',) , 0.250
Rule: (' i22',) ==> (' i28',) , 0.250
Rule: (' i11',) ==> (' i30',) , 0.250
Rule: (' i20',) ==> (' i26',) , 0.250
Rule: (' i22',) ==> (' i11',) , 0.250
Rule: (' i10',) ==> ('i1',) , 0.250
Rule: (' i23',) ==> (' i15',) , 0.252
Rule: ('i1',) ==> (' i9',) , 0.255
Rule: ('i1',) ==> (' i25',) , 0.255
Rule: (' i30',) ==> (' i22',) , 0.255
Rule: (' i13',) ==> (' i15',) , 0.256
Rule: (' i9',) ==> (' i24',) , 0.256
Rule: (' i23', ' i15') ==> ('i3',) , 0.258
Rule: (' i15',) ==> ('i3',) , 0.262
Rule: (' i15',) ==> (' i9',) , 0.262
Rule: (' i12',) ==> (' i23',) , 0.265
Rule: (' i12',) ==> (' i17',) , 0.265
Rule: (' i7',) ==> (' i29',) , 0.267
Rule: (' i18',) ==> ('i3',) , 0.267
Rule: (' i23',) ==> (' i25',) , 0.268
Rule: (' i11',) ==> (' i23',) , 0.269
Rule: ('i1',) ==> (' i2',) , 0.273
Rule: (' i14',) ==> (' i24',) , 0.273
Rule: (' i25', ' i23') ==> (' i15',) , 0.273
Rule: (' i25', ' i23') ==> (' i17',) , 0.273
Rule: (' i25',) ==> (' i16',) , 0.274
Rule: (' i20',) ==> (' i11',) , 0.275
Rule: (' i30',) ==> (' i11',) , 0.277
Rule: (' i15',) ==> (' i25',) , 0.279
Rule: (' i9',) ==> ('i3',) , 0.282
Rule: (' i9',) ==> (' i23', ' i15') , 0.282
Rule: ('i4',) ==> (' i17',) , 0.286
Rule: (' i19',) ==> (' i26',) , 0.286
Rule: (' i28',) ==> (' i11',) , 0.286
Rule: (' i23', ' i15') ==> (' i25',) , 0.290
Rule: (' i12',) ==> ('i4',) , 0.294
Rule: (' i29',) ==> ('i5',) , 0.294
Rule: (' i30',) ==> (' i20',) , 0.298
Rule: (' i18',) ==> (' i26',) , 0.300
Rule: (' i16',) ==> (' i10',) , 0.300
Rule: (' i21',) ==> (' i11',) , 0.300
Rule: (' i18',) ==> (' i24',) , 0.300
Rule: (' i7',) ==> (' i30',) , 0.300
Rule: (' i18',) ==> (' i23',) , 0.300
Rule: (' i21',) ==> ('i5',) , 0.300
Rule: ('i3',) ==> (' i15',) , 0.302
Rule: (' i14',) ==> ('i3',) , 0.303
Rule: ('i2',) ==> (' i25',) , 0.312
Rule: ('i6',) ==> (' i20',) , 0.320
Rule: ('i3',) ==> (' i24',) , 0.321
Rule: ('i3',) ==> (' i25',) , 0.321
Rule: (' i28',) ==> (' i22',) , 0.321
Rule: ('i4',) ==> (' i23',) , 0.321
Rule: (' i23', ' i15') ==> (' i24',) , 0.323
Rule: (' i20',) ==> (' i28',) , 0.325
Rule: (' i22',) ==> (' i30',) , 0.333
Rule: (' i7',) ==> ('i5',) , 0.333
Rule: (' i13',) ==> ('i3',) , 0.333
Rule: (' i10',) ==> (' i16',) , 0.341
Rule: ('i2',) ==> (' i23',) , 0.344
Rule: (' i24',) ==> (' i15',) , 0.347
Rule: (' i25', ' i16') ==> (' i23',) , 0.348
Rule: (' i20',) ==> (' i30',) , 0.350
Rule: (' i23', ' i15') ==> (' i9',) , 0.355
Rule: ('i4',) ==> (' i12',) , 0.357
Rule: (' i19',) ==> (' i23',) , 0.357
Rule: (' i28',) ==> (' i30',) , 0.357
Rule: (' i9',) ==> ('i1',) , 0.359
Rule: (' i13',) ==> (' i25',) , 0.359
Rule: (' i9',) ==> (' i25',) , 0.359
Rule: ('i6',) ==> (' i30',) , 0.360
Rule: (' i17',) ==> (' i25',) , 0.360
Rule: ('i7',) ==> (' i30',) , 0.360
Rule: (' i24',) ==> (' i23',) , 0.361
Rule: (' i14',) ==> (' i25',) , 0.364
Rule: (' i16', ' i23') ==> (' i25',) , 0.364
Rule: (' i21',) ==> (' i23',) , 0.367
Rule: (' i8',) ==> (' i24',) , 0.381
Rule: (' i8',) ==> (' i23',) , 0.381
Rule: ('i3', ' i23') ==> (' i15',) , 0.381
Rule: (' i9', ' i23') ==> ('i3',) , 0.381
Rule: ('i3', ' i23') ==> (' i9',) , 0.381
Rule: ('i1',) ==> (' i23',) , 0.382
Rule: (' i24', ' i23') ==> (' i15',) , 0.385
Rule: (' i10',) ==> (' i25',) , 0.386
Rule: (' i25',) ==> (' i23',) , 0.393
Rule: ('i3',) ==> (' i23',) , 0.396
Rule: (' i24', ' i15') ==> (' i23',) , 0.400
Rule: (' i6',) ==> ('i5',) , 0.400
Rule: (' i23', ' i17') ==> (' i25',) , 0.409
Rule: (' i15',) ==> (' i24',) , 0.410
Rule: (' i9',) ==> (' i15',) , 0.410
Rule: (' i8',) ==> ('i3',) , 0.429
Rule: ('i1', ' i23') ==> (' i9',) , 0.429
Rule: (' i9', ' i23') ==> ('i1',) , 0.429
Rule: (' i25', ' i16') ==> (' i10',) , 0.435
Rule: (' i16',) ==> (' i23',) , 0.440
Rule: (' i17',) ==> (' i23',) , 0.440
Rule: (' i16',) ==> (' i25',) , 0.460
Rule: (' i28',) ==> (' i20',) , 0.464
Rule: (' i3',) ==> ('i1',) , 0.471
Rule: ('i3', ' i15') ==> (' i23',) , 0.500
Rule: (' i25', ' i17') ==> (' i23',) , 0.500
Rule: (' i15',) ==> (' i23',) , 0.508
Rule: (' i9', ' i23') ==> (' i15',) , 0.524
Rule: (' i25', ' i15') ==> (' i23',) , 0.529
Rule: (' i9',) ==> (' i23',) , 0.538
Rule: (' i14',) ==> (' i23',) , 0.545
Rule: (' i13',) ==> (' i23',) , 0.564
Rule: ('i8',) ==> (' i15',) , 0.571
Rule: (' i10', ' i25') ==> (' i16',) , 0.588
Rule: ('i1', ' i9') ==> (' i23',) , 0.643
Rule: (' i10', ' i16') ==> (' i25',) , 0.667
Rule: (' i9', ' i15') ==> (' i23',) , 0.687
Rule: ('i8',) ==> (' i23',) , 0.714
Rule: (' i9', 'i3') ==> (' i23',) , 0.727
Rule: (' i2',) ==> ('i1',) , 0.789
